ORGANISATION,ORGANISATION,TF-applicability,TF-note,TF-COUNT,TF-pivot-count:collection,TF-pivot-members:collection
"Faculty of Computer and Information Science, University of Ljubljana","","","",6,1,"CLARIN.SI data & tools |6|"
"Faculty of Electrical Engineering and Computer Science, University of Maribor","","","",4,1,"CLARIN.SI data & tools |4|"
"Faculty of Electrical Engineering, University of Ljubljana","","","",1,1,"CLARIN.SI data & tools |1|"
"Faculty of Humanities and Social Sciences, University of Zagreb","","","",4,1,"CLARIN.SI data & tools |4|"
"Faculty of Informatics, Masaryk University","","","",1,1,"LINDAT / CLARIN Data & Tools |1|"
"Faculty of Information Studies Novo mesto","","","",4,1,"CLARIN.SI data & tools |4|"
"Faculty of Letters and Philosophy, University of Buenos Aires","","","",108,1,"DoBeS archive : Chaco languages |108|"
"Faculty of Mathematics and Physics, Charles University in Prague, UFAL","","","",3,1,"LINDAT / CLARIN Data & Tools |3|"
"Fahrschule","","","",11,1,"AGD |11|"
"Fedearación de Comunidades Nativas del Ampiyacu (FECONA)","","","",1,1,"DoBeS archive : Gente del Centro - People of the Center |1|"
"Federación de Co0munidades Nativas del río Ampiyacu (FECONA)","","","",1,1,"DoBeS archive : Gente del Centro - People of the Center |1|"
"Federación de Comunidades Nativas del Ampiyacu, FECONA.","","","",1,1,"DoBeS archive : Gente del Centro - People of the Center |1|"
"Federación de Comunidades Nativas del río Ampiyacu (DFECONA).","","","",2,1,"DoBeS archive : Gente del Centro - People of the Center |2|"
"Federación de Comunidades Nativas del río Ampiyacu (FECONA).","","","",22,1,"DoBeS archive : Gente del Centro - People of the Center |22|"
"Federación de Comunidades Nativas del río Ampiyacu - FECONA","","","",9,1,"DoBeS archive : Gente del Centro - People of the Center |9|"
"Federación de Comunidades Ntivas del río Ampiyacu (FECONA).","","","",5,1,"DoBeS archive : Gente del Centro - People of the Center |5|"
"Fernsehen","","","",1,1,"AGD |1|"
"Filosoft","","","",2,1,"Center of Estonian Language Resources |2|"
"Finanstilsynet, OEM","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Finnish Broadcasting Company","","","",4,0,""
"Finnish Competition and Consumer Authority","","","",1,0,""
"Finnish National Board of Education","","","",1,0,""
"Fondazione Bruno Kessler, Trento, Italy","","","",11,2,"LINDAT / CLARIN Data & Tools |2| # LRT + Open Submissions Data & Tools |9|"
"Font","","","",1,1,"CLARINO Bergen Centre |1|"
"Forlaget Libris","","","",3,1,"CLARIN-DK-UCPH Repository |3|"
"Forlaget Tegl","","","",2,1,"CLARIN-DK-UCPH Repository |2|"
"Forschungsinstitut für deutsche Sprache „Deutscher Sprachatlas“","","","",4,2,"AGD |3| # Institut für Deutsche Sprache, CLARIN-D Zentrum, Mannheim |1|"
"Forskning.no","","","",1,1,"CLARINO Bergen Centre |1|"
"Forskningscenter Risø","","","",1,1,"CLARIN-DK-UCPH Repository |1|"
"Frankfurt University Comparative Linguistics","","","",9,1,"DoBeS archive : ECLING project |9|"
